Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-122-744-113-792,Editor's Note: EGFR Activation and Signaling in Cancer Cells Are Enhanced by the Membrane-Bound Metalloprotease MT4-MMP.,2022-02-15,2022,journal article,Cancer research,15387445; 00085472,American Association for Cancer Research (AACR),United States,Alexandra Paye; Alice Truong; Cassandre Yip; Jonathan Cimino; Silvia Blacher; Carine Munaut; Didier Cataldo; Jean Michel Foidart; Erik Maquoi; Joelle Collignon; Philippe Delvenne; Guy Jerusalem; Agnes Noèl; Nor Eddine Sounni,peer reviewed,82,4,734,734,Cyclin D1; Stimulation; Cancer research; Cell biology; Biology; Chemistry; Cancer; Neuroscience; Genetics; Cell cycle,,,,,https://aacrjournals.org/cancerres/article-pdf/82/4/734/3044549/734.pdf https://doi.org/10.1158/0008-5472.can-21-4292,http://dx.doi.org/10.1158/0008-5472.can-21-4292,35180309,10.1158/0008-5472.can-21-4292,,,0,010-013-244-444-691,0,true,,bronze
000-935-967-706-286,1566P Clinical relevance of circulating tumor DNA in HER2 -positive advanced gastric cancer: Results from phase Ib trial of HER2 and PD-1 dual targeted therapy (Ni-High),,2023,journal article,Annals of Oncology,09237534; 15698041,Elsevier BV,United Kingdom,H. Osumi; T. Wakatsuki; D. Takahari; A. Ooki; K. Chin; H. Shoji; M. Ogura; I. Nakayama; N. Yamamoto; H. Hirano; H. Hara; K. Minashi; E. Shinozaki; K. Kato; N. Kurihara; S. Kitano; K. Takeuchi; N. Boku; K. Yamaguchi,,34,,S875,S876,Medicine; Targeted therapy; Indel; Internal medicine; Chemotherapy; Cancer; Oncology; Single-nucleotide polymorphism; Gene; Genotype; Genetics; Biology,,,,,http://www.annalsofoncology.org/article/S0923753423023153/pdf https://doi.org/10.1016/j.annonc.2023.09.1478,http://dx.doi.org/10.1016/j.annonc.2023.09.1478,,10.1016/j.annonc.2023.09.1478,,,0,,0,true,,bronze
000-963-992-163-111,Regulating Tumorigenicity and Cancer Metastasis through TRKA Signaling.,,2024,journal article,Current cancer drug targets,18735576; 15680096,Bentham Science Publishers Ltd.,United Arab Emirates,Yichao Fan; Boya Zhang; Xinhui Du; Bangmin Wang; Qiang Yan; Liangyu Guo; Weitao Yao,"Tropomyosin receptor kinase (TRK) A, TRKA, is a specific binding receptor of nerve growth factor (NGF), which plays an essential role in the occurrence and progression of human cancers. TRKA overexpression has been proven to be a powerful carcinogenic driver and has been verified in many tumors. The TRKA receptor kinase domain is over-activated in an NGF-dependent manner, accompanied by activation of downstream signal pathways, such as RAS-MAPK, PI3K-AKT, JAK2-STAT3 pathway, PLC γ pathway, and Hippo pathway, which participate in tumor cell proliferation, invasion, epithelial-mesenchymal transition (EMT), perineural invasion (PNI), drug resistance, and cancer pain. In addition, chimeric oncogenes produced by the fusion of NTRK1 and other genes are also the direct cause of tumorigenesis and cancer development. The newly developed TRK inhibitors can improve symptoms and tumor regression in cancer patients with overexpression of TRKA or NTRK1 fusion gene. With the emergence of drug resistance, next generation of TRK inhibitors can still maintain strong clinical efficacy in the case of TRK kinase domain mutations, and these inhibitors are in clinical trials. This review summarizes the characteristics and research progress of TRKA, focusing on the regulatory role of the TRKA signal pathway in different tumors. In addition, we have summarized the clinical significance of TRKA and the TRK inhibitors. This review may provide a new reference for the study of the mechanism of TRKA in different tumors, and also provide a new perspective for the in-depth understanding of the role of TRKA as a biomarker and therapeutic target in human cancer.",24,3,271,287,Trk receptor; Tropomyosin receptor kinase A; Cancer research; Low-affinity nerve growth factor receptor; Signal transduction; Cancer; Carcinogenesis; PI3K/AKT/mTOR pathway; MAPK/ERK pathway; Biology; Nerve growth factor; Medicine; Receptor; Cell biology; Internal medicine,TRKA; TRKA fusion; TRKA inhibitor; TRKA overexpression; targeted therapies; tumorigenicity.,"Humans; Nerve Growth Factor/genetics; Phosphatidylinositol 3-Kinases/metabolism; Signal Transduction; Receptor, trkA/genetics; Neoplasms/drug therapy; Carcinogenesis/genetics","Nerve Growth Factor; Phosphatidylinositol 3-Kinases; Receptor, trkA",,,http://dx.doi.org/10.2174/1568009623666230904150957,37670705,10.2174/1568009623666230904150957,,,0,000-548-187-034-925; 000-703-338-862-320; 001-147-912-540-660; 002-041-055-643-489; 002-246-381-580-371; 002-394-729-320-12X; 003-370-389-984-578; 003-446-856-131-32X; 003-858-277-147-483; 004-475-065-610-374; 004-834-535-950-026; 005-494-989-659-127; 006-410-531-294-184; 006-596-634-417-085; 006-892-112-967-473; 006-916-590-582-352; 006-931-967-056-375; 007-226-201-767-811; 007-431-385-673-045; 007-982-743-454-792; 008-007-822-768-645; 008-294-250-318-749; 008-810-258-252-594; 009-324-146-627-26X; 009-547-806-657-551; 010-771-063-704-792; 011-029-759-445-928; 011-376-199-309-747; 011-556-539-194-391; 011-944-301-683-018; 011-963-914-953-619; 012-778-930-554-388; 014-015-240-854-372; 014-544-187-864-187; 015-873-551-147-226; 016-766-950-568-848; 017-386-069-553-028; 017-784-940-211-55X; 018-377-073-410-961; 019-221-298-811-120; 019-865-712-391-779; 020-182-192-729-256; 020-439-517-266-909; 022-712-094-099-076; 022-972-941-054-495; 024-058-223-815-884; 025-178-702-684-634; 025-376-630-698-822; 026-373-712-723-668; 027-586-255-361-061; 027-660-196-842-799; 027-793-786-072-471; 030-242-586-671-24X; 032-391-416-954-310; 032-787-996-010-658; 034-100-850-224-839; 034-197-721-586-917; 034-438-942-749-622; 034-802-518-284-748; 035-051-560-843-98X; 035-393-834-770-424; 036-041-209-823-831; 037-100-035-017-779; 037-100-686-451-413; 037-804-847-521-167; 038-840-565-207-422; 038-961-942-172-247; 039-189-978-452-553; 041-209-750-841-816; 041-280-971-492-367; 041-427-527-612-549; 041-730-865-461-749; 041-965-613-780-125; 042-360-837-236-959; 043-538-152-532-247; 043-813-183-224-021; 045-206-537-033-942; 047-684-656-023-076; 047-736-960-802-324; 047-900-549-130-62X; 048-102-686-497-321; 049-601-053-188-943; 050-227-032-900-274; 050-933-498-039-891; 051-050-592-591-209; 053-511-206-393-143; 056-279-307-661-675; 056-441-697-005-827; 056-520-648-560-133; 059-014-471-125-474; 060-270-367-843-255; 062-402-372-530-098; 062-645-115-245-604; 065-237-096-562-714; 065-999-272-534-503; 068-195-925-737-523; 068-199-933-772-642; 068-798-265-073-663; 069-586-876-130-50X; 071-659-306-331-971; 073-420-390-060-892; 073-764-143-919-988; 074-138-214-730-903; 076-143-076-011-036; 076-792-720-683-555; 076-987-353-477-150; 078-606-059-793-946; 080-747-800-475-643; 081-912-971-698-182; 083-032-713-316-353; 085-159-410-246-467; 085-385-916-618-294; 085-930-731-837-731; 086-812-109-587-292; 087-004-714-435-917; 091-387-585-813-461; 097-006-169-047-397; 097-460-376-293-62X; 098-339-612-658-101; 101-416-455-346-720; 102-038-343-045-617; 104-159-113-376-57X; 104-691-912-901-562; 104-795-482-017-721; 104-827-701-179-821; 106-492-056-390-712; 111-542-439-671-371; 113-326-690-828-160; 115-109-657-514-604; 117-445-709-474-743; 122-433-903-137-874; 130-012-768-449-481; 130-344-052-785-763; 135-703-286-675-704; 137-255-367-493-757; 146-847-819-259-175; 147-364-964-451-85X; 148-399-448-447-869; 155-001-086-928-411; 166-681-160-600-088; 175-648-536-618-190; 176-376-901-270-795; 181-902-551-882-115,10,false,,
000-965-490-020-750,Correction: Lysyl Oxidase-like Protein LOXL2 Promotes Lung Metastasis of Breast Cancer.,2023-03-15,2023,journal article,Cancer research,15387445; 00085472,American Association for Cancer Research (AACR),United States,Fernando Salvador; Alberto Martin; Celia López-Menéndez; Gema Moreno-Bueno; Vanesa Santos; Alberto Vázquez-Naharro; Patricia G Santamaría; Saleta Morales; Pierre R Dubus; Laura Muinelo-Romay; Rafael López-López; Jason C Tung; Valerie M Weaver; Francisco Portillo; Amparo Cano,"In the original version of this article (1), there were errors in Fig. 2 and Fig. 7. Specifically, in Fig. 2, the hematoxylin and eosin images of the metastatic lung in Fig. 2A for the knockout PyMT;LΔ/− mice and the metastatic lung in Fig. 2C for the control PyMT;R26STOPL2 mice were both mistakenly taken from the same original image. In Fig. 7A, the same Western blot bands were used to represent α-tubulin expression in the T1 control samples and Snail 1 expression in the T1 Snail1 samples. In addition, the orientation of the Snail 1 Western blot bands in the T2 Snail1 samples was incorrect in the original version. The correct images have been provided and the errors have been corrected in the latest online HTML and PDF versions of the article. The authors regret these errors.",83,6,974,974,Lysyl oxidase; Snail; Western blot; Lung cancer; H&E stain; Metastasis; Pathology; Regret; Lung; Biology; Cancer; Cancer research; Molecular biology; Medicine; Immunohistochemistry; Internal medicine; Computer science; Genetics; Biochemistry; Enzyme; Gene; Ecology; Machine learning,,,,,https://aacrjournals.org/cancerres/article-pdf/83/6/974/3280596/974.pdf https://doi.org/10.1158/0008-5472.can-23-0127,http://dx.doi.org/10.1158/0008-5472.can-23-0127,36919424,10.1158/0008-5472.can-23-0127,,,0,021-669-446-732-051,2,true,,bronze
001-126-801-426-66X,ASO Author Reflections: Diagnosis and Treatment Strategies for Post-Prostatectomy Urinary Incontinence: How to Identify and Intervene Early?,2024-09-04,2024,journal article,Annals of surgical oncology,15344681; 10689265,Springer Science and Business Media LLC,United States,Yunlong Li; Yingming Xiao; Zhengang Shen; Shengke Yang; Zeng Li; Hong Liao; Shukui Zhou,,31,12,8466,8467,Medicine; Surgical oncology; Urology; Urinary incontinence; Prostatectomy; General surgery; Gynecology; Internal medicine; Prostate cancer; Cancer,,Humans; Prostatectomy/adverse effects; Urinary Incontinence/etiology; Male; Prostatic Neoplasms/surgery; Postoperative Complications/etiology; Prognosis,,,,http://dx.doi.org/10.1245/s10434-024-16155-2,39230848,10.1245/s10434-024-16155-2,,,0,058-508-411-173-283; 083-431-539-908-457; 092-284-542-361-72X; 151-485-093-689-891; 178-217-109-585-990,0,false,,
001-158-992-608-568,Systematic Identification of the Cancer Pathways and Molecules Related With Breast Cancer Immunogenicity,2021-02-17,2021,preprint,,,Springer Science and Business Media LLC,,Xiaoli Wang; Silu Xu; Lingli Huang; Lei Wang; Nan Wu,"<title>Abstract</title>;         <p>To identify molecular features related to immunogenic activity in breast cancer (BC) and provide new targets and directions for BC immunotherapy. We first used ESTIMATE to evaluate the degree of immune cell infiltration of the BC patients in TCGA and METABRIC, and explore the relationship between the degree of immune cell infiltration and prognosis of breast cancer patients. Then, we identified the cancer pathways, proteins, miRNAs related to BC immunogenicity, and predicted miRNAs target genes and identified the pathways related to target genes with KEGG pathway enrichment analysis. We also explored the correlation between PD-L1 expression level and cancer pathways and found that PD-L1 expression showed a positive association with cancer pathways. In this article we have successfully identified several cancer pathways, proteins, miRNAs and their target genes, which could be as promising new target for BC immunotherapy. And PD-L1 blockade therapy may be more effective in BC patients with the activation of some cancer pathways.</p>",,,,,Immunogenicity; Breast cancer; Identification (biology); Cancer; Computational biology; Cancer research; Medicine; Oncology; Biology; Internal medicine; Immunology; Antibody; Botany,breast cancer; tumor immunity; immunotherapy; miRNA; PD-L1,,,,https://www.researchsquare.com/article/rs-176051/latest.pdf https://doi.org/10.21203/rs.3.rs-176051/v1,http://dx.doi.org/10.21203/rs.3.rs-176051/v1,,10.21203/rs.3.rs-176051/v1,,,0,,0,true,cc-by,green
001-198-638-072-795,Discovery of Pyrrolopyrimidinone Inhibitors of the BCL6-SMRT Corepressor Interaction,2025-01-01,2025,preprint,,,Elsevier BV,,Methvin Isaac; Iain  D. G. Watson; Justin  A. Morin; Pandiaraju Subramanian; Anh Chau; Michael Prakesch; Brian Wilson; Mohammed  M. Morshed; Babu Joseph; David Uehling; Gennady Poda; Ayome Abibi; Manuel Chan; Herman Cheung; Carly Griffin; Victor Mao; Richard Marcellus; Craig Strathdee; Ratheesh Subramaniam; Brigitte Theriault; Jeffrey Winston; Ahmed Aman; Taira Kiyota; Elijus Undzys; Douglas  A. Kuntz; Neil Pomroy; Ahmed Mamai; Gilbert  G. Privé,,,,,,BCL6; Corepressor; Germinal center; Repressor; Computational biology; Chemistry; Drug discovery; Virtual screening; Protein–protein interaction; Small molecule; Lymphoma; Romidepsin; Cancer research; Binding site; Biology; Plasma protein binding; Cell biology; Transcription factor; Drug development; DNA-binding protein; Immune system; Genetics; Transcriptional activity; Drug target; Biochemistry; Drug; Structure–activity relationship; Computer science; Set (abstract data type),,,,,,http://dx.doi.org/10.2139/ssrn.5933255,,10.2139/ssrn.5933255,,,0,,0,true,,green
001-256-242-987-326,MHC Hammer reveals genetic and non-genetic HLA disruption in cancer evolution.,2024-10-02,2024,journal article,Nature genetics,15461718; 10614036,Springer Science and Business Media LLC,United Kingdom,Clare Puttick; Thomas P Jones; Michelle M Leung; Felipe Galvez-Cancino; Jiali Liu; Manuel Varas-Godoy; Andrew Rowan; Oriol Pich; Carlos Martinez-Ruiz; Robert Bentham; Krijn K Dijkstra; James R M Black; Rachel Rosenthal; Nnennaya Kanu; Kevin Litchfield; Roberto Salgado; David A Moore; Peter Van Loo; Mariam Jamal-Hanjani; Sergio A Quezada; null null; Charles Swanton; Nicholas McGranahan,"Disruption of the class I human leukocyte antigen (HLA) molecules has important implications for immune evasion and tumor evolution. We developed major histocompatibility complex loss of heterozygosity (LOH), allele-specific mutation and measurement of expression and repression (MHC Hammer). We identified extensive variability in HLA allelic expression and pervasive HLA alternative splicing in normal lung and breast tissue. In lung TRACERx and lung and breast TCGA cohorts, 61% of lung adenocarcinoma (LUAD), 76% of lung squamous cell carcinoma (LUSC) and 35% of estrogen receptor-positive (ER+) cancers harbored class I HLA transcriptional repression, while HLA tumor-enriched alternative splicing occurred in 31%, 11% and 15% of LUAD, LUSC and ER+ cancers. Consistent with the importance of HLA dysfunction in tumor evolution, in LUADs, HLA LOH was associated with metastasis and LUAD primary tumor regions seeding a metastasis had a lower effective neoantigen burden than non-seeding regions. These data highlight the extent and importance of HLA transcriptomic disruption, including repression and alternative splicing in cancer evolution.",56,10,2121,2131,Biology; Loss of heterozygosity; Human leukocyte antigen; Cancer research; Metastasis; Major histocompatibility complex; Lung cancer; Adenocarcinoma; Immunology; Allele; Genetics; Cancer; Immune system; Antigen; Gene; Oncology; Medicine,Breast cancer; Genome informatics; Lung cancer; Tumour immunology,"Female; Humans; Adenocarcinoma of Lung/genetics; Alleles; Alternative Splicing/genetics; Breast Neoplasms/genetics; Carcinoma, Squamous Cell/genetics; Evolution, Molecular; Gene Expression Regulation, Neoplastic; Histocompatibility Antigens Class I/genetics; HLA Antigens/genetics; Loss of Heterozygosity; Lung Neoplasms/genetics; Major Histocompatibility Complex/genetics; Mutation; Neoplasms/genetics",Histocompatibility Antigens Class I; HLA Antigens,Wellcome Trust (CC2008) United Kingdom; Wellcome Trust (CC2041) United Kingdom,https://www.nature.com/articles/s41588-024-01883-8.pdf https://doi.org/10.1038/s41588-024-01883-8 https://edoc.mdc-berlin.de/id/eprint/24831/1/24831oa.pdf https://edoc.mdc-berlin.de/id/eprint/24831/8/24831suppl.zip https://pmc.ncbi.nlm.nih.gov/articles/PMC11525181/pdf/41588_2024_Article_1883.pdf https://www.ncbi.nlm.nih.gov/pmc/articles/11525181 https://pure.au.dk/ws/files/443267955/s41588-024-01883-8.pdf https://pure.au.dk/portal/en/publications/23df6232-6910-4114-a435-0e7d64af608f,http://dx.doi.org/10.1038/s41588-024-01883-8,39358601,10.1038/s41588-024-01883-8,,PMC11525181,0,001-221-616-095-892; 006-218-758-914-51X; 006-290-674-215-718; 009-741-119-223-806; 011-985-352-504-455; 023-321-599-456-09X; 025-130-966-924-512; 027-415-581-802-639; 029-684-976-408-423; 030-305-284-363-845; 031-172-754-514-557; 031-456-821-478-985; 032-369-952-529-245; 035-063-736-723-980; 035-952-763-466-836; 041-767-824-481-443; 042-840-740-447-285; 055-624-421-022-840; 057-512-231-142-75X; 061-249-899-046-994; 062-326-223-978-196; 062-723-186-427-190; 064-239-196-940-64X; 067-382-356-300-264; 074-116-122-329-453; 090-089-330-275-014; 090-093-616-031-885; 095-541-916-408-726; 099-911-721-293-077; 100-917-996-781-273; 101-105-847-654-310; 116-983-123-938-979; 120-773-199-830-98X; 126-805-813-868-040; 132-331-864-980-804; 132-795-478-268-953; 141-930-451-966-239; 147-084-102-295-244; 170-305-719-338-339; 175-526-392-505-334,32,true,cc-by,hybrid
001-539-807-937-087,"Abstract P6-05-02: Endocrine biomarkers in response to AR-inhibition with bicalutamide for the treatment of AR(+), ER/PR(−) metastatic breast cancer (MBC) (TBCRC011)",2012-12-15,2012,journal article,Cancer Research,00085472; 15387445,American Association for Cancer Research (AACR),United States,Ayca Gucalp; Sara M. Tolaney; SJ Isakoff; JN Ingle; MC Liu; Lisa A. Carey; K. L. Blackwell; HS Rugo; Lisle Nabell; Andres Forero; Vered Stearns; L Momen; Joseph Gonzalez; A Akhtar; Dilip Giri; S. Patil; Kimberly Feigin; Clifford A. Hudis; TA Traina,"Background: Our group and others have identified a subset of ER/PR(−) breast cancers characterized by expression of the androgen receptor (AR) and androgen-dependent growth (Doane 2006). We conducted a proof-of-concept multicenter phase II study to test the efficacy of the AR-antagonist, bicalutamide for the treatment of AR(+) ER/PR(−) MBC (NCT00468715). Results of the primary endpoint, clinical benefit rate (CBR), were presented at ASCO (Gucalp 2012). Data for the impact of bicalutamide on circulating hormone levels in women are limited. Elevations in serum testosterone (T) and estradiol (E) have been observed for men treated with bicalutamide. We hypothesized comparable patterns of change in circulating endocrine markers in response to bicalutamide for women with MBC. Methods: Patients (pts) with AR(+) (IHC ≥10%), ER/PR(−) (IHC Results: 26 patients with AR(+) ER/PR(−) MBC were treated on study. Evaluable number (n) of pts at baseline, C2 and EOS are 26, 26 and 19 respectively. Two pts remain on study. Menopausal status: pre=2, post=24. Baseline median total and free T and estradiol were consistent with expected norms, however a wide range was observed (Table). There were no significant differences observed for median free T, total T, E or SHBG between baseline and C2 or baseline and EOS. Changes in hormone levels could not be stratified by menopausal status or response to bicalutamide given small sample size. Given the wide range of baseline values, we examined the percent change for each endocrine biomarker from baseline to C2 and EOS. As shown in the Table, there was no difference in median percent change observed across time points for each biomarker. Conclusions: No discernible patterns of change in T, E or SHBG were observed in response to bicalutamide therapy when given to women for the treatment of AR(+), ER/PR(−) MBC. These circulating hormones require further evaluation for use as a pharmacodynamic marker. Citation Information: Cancer Res 2012;72(24 Suppl):Abstract nr P6-05-02.",72,24_Supplement,P6,5-02-P6-05-02,Cancer; Internal medicine; Endocrinology; Oncology; Metastatic breast cancer; Bicalutamide; Sex hormone-binding globulin; Phases of clinical research; Androgen receptor; Hormone; Medicine; Biomarker (medicine),,,,,https://cancerres.aacrjournals.org/content/72/24_Supplement/P6-05-02.short https://cancerres.aacrjournals.org/content/72/24_Supplement/P6-05-02,http://dx.doi.org/10.1158/0008-5472.sabcs12-p6-05-02,,10.1158/0008-5472.sabcs12-p6-05-02,2317587537,,0,,3,false,,
001-575-878-265-490,MA09.04 Genome-wide Analysis Identifies Nuclear Factor IC as a Novel Transcription Factor and Potential Therapeutic Target in SCLC,,2023,journal article,Journal of Thoracic Oncology,15560864; 15561380,Elsevier BV,United States,V. Shukla; H. Wang; L. Varticovski; S. Baek; R. Wang; F.J. Echtenkamp; Y. Wang; S.K. Gara; M.R. Zhang; H. Chen; P.S. Meltzer; M.M. Miettinen; L.M. Neckers; W.M. Linehan; G.L. Hager; D.S. Schrump,,18,11,S129,S130,Medicine; Transcription factor; Computational biology; Genome; Genetics; Gene; Biology,,,,,https://www.jto.org/article/S1556-0864(23)00976-0/pdf https://doi.org/10.1016/j.jtho.2023.09.174,http://dx.doi.org/10.1016/j.jtho.2023.09.174,,10.1016/j.jtho.2023.09.174,,,0,,0,true,,bronze
